Vegetation Type,,Acidobacteria,Proteobacteria,Actinobacteria,Bacteroidetes,Thaumarchaeota,Chloroflexi,Planctomycetes,Gemmatimonadetes,Firmicutes,Nitrospirae,Euryarchaeota,others,Site,Composition,Phylum,
Temperate Meadow,NM87,0.325333333,0.254,0.035866667,0.146533333,0.031066667,0.039866667,0.072266667,0.015733333,0.009466667,0.018933333,0.000133333,0.0508,NM87,0.325333333,Acidobacteria,
Temperate Meadow,NM89,0.3484,0.2468,0.032266667,0.102266667,0.005866667,0.074533333,0.052266667,0.024666667,0.010533333,0.034,0.001333333,0.067066667,NM89,0.3484,Acidobacteria,
Temperate Meadow,NM91,0.3196,0.216666667,0.058,0.0972,0.0588,0.109066667,0.049333333,0.019733333,0.015333333,0.013733333,0.001466667,0.041066667,NM91,0.3196,Acidobacteria,
Temperate Meadow,NM93,0.3264,0.240933333,0.0632,0.128,0.051866667,0.036933333,0.0708,0.021866667,0.0052,0.013466667,0.001066667,0.040266667,NM93,0.3264,Acidobacteria,
Temperate Meadow,NM95,0.353733333,0.225733333,0.087733333,0.1028,0.0324,0.0336,0.0576,0.029866667,0.0108,0.016133333,0.000133333,0.049466667,NM95,0.353733333,Acidobacteria,
Temperate Meadow,NM97,0.388933333,0.174266667,0.091066667,0.104,0.026666667,0.035066667,0.063466667,0.030266667,0.014266667,0.0188,0.000266667,0.052933333,NM97,0.388933333,Acidobacteria,
Temperate Meadow,NM99,0.341866667,0.1928,0.087066667,0.051066667,0.081866667,0.033333333,0.059733333,0.020133333,0.0048,0.051466667,0.0012,0.074666667,NM99,0.341866667,Acidobacteria,
Temperate Meadow,NM101,0.38,0.204133333,0.0648,0.0928,0.076266667,0.025866667,0.072133333,0.020266667,0.020266667,0.011866667,0.000533333,0.031066667,NM101,0.38,Acidobacteria,
Temperate Meadow,NM103,0.4,0.168666667,0.070933333,0.128133333,0.026533333,0.036666667,0.065733333,0.036933333,0.0064,0.0164,0.0004,0.0432,NM103,0.4,Acidobacteria,
Temperate Meadow,NM105,0.388666667,0.189733333,0.079066667,0.078666667,0.038266667,0.043066667,0.0668,0.025066667,0.008533333,0.019733333,0.0004,0.062,NM105,0.388666667,Acidobacteria,
